variant,base_model,normalization,iteration,macro_f1
dino_vits16_imagenet,dino_vits16,imagenet,80,81.23917099459523
dino_vits16_imagenet,dino_vits16,imagenet,81,77.46932301425194
dino_vits16_imagenet,dino_vits16,imagenet,82,76.7028230814101
dino_vits16_imagenet,dino_vits16,imagenet,83,80.44104506231108
dino_vits16_imagenet,dino_vits16,imagenet,84,77.15548805679997
dino_vits16_imagenet,dino_vits16,imagenet,85,79.9563401210331
dino_vits16_imagenet,dino_vits16,imagenet,86,75.41047973567356
dino_vits16_imagenet,dino_vits16,imagenet,87,75.73096437545054
dino_vits16_imagenet,dino_vits16,imagenet,88,77.40721929255861
dino_vits16_imagenet,dino_vits16,imagenet,89,76.66679902316655
dino_vits16_imagenet,dino_vits16,imagenet,90,76.42929422483068
dino_vits16_imagenet,dino_vits16,imagenet,91,79.26304352681834
dino_vits16_imagenet,dino_vits16,imagenet,92,75.36470838132637
dino_vits16_imagenet,dino_vits16,imagenet,93,79.62797313376193
dino_vits16_imagenet,dino_vits16,imagenet,94,77.45394585033773
dino_vits16_imagenet,dino_vits16,imagenet,95,78.03655906644661
dino_vits16_imagenet,dino_vits16,imagenet,96,79.75141691221135
dino_vits16_imagenet,dino_vits16,imagenet,97,78.9862215987955
dino_vits16_imagenet,dino_vits16,imagenet,98,76.04640753782041
dino_vits16_imagenet,dino_vits16,imagenet,99,79.48818645295282
dino_vits16_imagenet,dino_vits16,imagenet,100,77.59007316628168
dino_vits8_dataset,dino_vits8,dataset,1,81.62141040490758
dino_vits8_dataset,dino_vits8,dataset,2,80.8405835058852
dino_vits8_dataset,dino_vits8,dataset,3,83.40167681201656
dino_vits8_dataset,dino_vits8,dataset,4,83.46485906006117
dino_vits8_dataset,dino_vits8,dataset,5,81.59140846755342
dino_vits8_dataset,dino_vits8,dataset,6,83.66695089309357
dino_vits8_dataset,dino_vits8,dataset,7,83.07100012519484
dino_vits8_dataset,dino_vits8,dataset,8,81.43409126459362
dino_vits8_dataset,dino_vits8,dataset,9,83.44545620090604
dino_vits8_dataset,dino_vits8,dataset,10,83.63129567892457
dino_vits8_dataset,dino_vits8,dataset,11,81.82421430785888
dino_vits8_dataset,dino_vits8,dataset,12,83.36344616282395
dino_vits8_dataset,dino_vits8,dataset,13,84.51410101838495
dino_vits8_dataset,dino_vits8,dataset,14,81.80194370160405
dino_vits8_dataset,dino_vits8,dataset,15,83.42859246887066
dino_vits8_dataset,dino_vits8,dataset,16,84.74627138012261
dino_vits8_dataset,dino_vits8,dataset,17,83.2889599541307
dino_vits8_dataset,dino_vits8,dataset,18,83.51636966396974
dino_vits8_dataset,dino_vits8,dataset,19,86.0323962419044
dino_vits8_dataset,dino_vits8,dataset,20,82.79964529925203
dino_vits8_dataset,dino_vits8,dataset,21,83.88321250582464
dino_vits8_dataset,dino_vits8,dataset,22,81.9932307042922
dino_vits8_dataset,dino_vits8,dataset,23,83.50769590027805
dino_vits8_dataset,dino_vits8,dataset,24,81.59645008787408
dino_vits8_dataset,dino_vits8,dataset,25,81.09125192129885
dino_vits8_dataset,dino_vits8,dataset,26,81.42574385528334
dino_vits8_dataset,dino_vits8,dataset,27,80.09868248291994
dino_vits8_dataset,dino_vits8,dataset,28,82.46590272790995
dino_vits8_dataset,dino_vits8,dataset,29,79.1454710562481
dino_vits8_dataset,dino_vits8,dataset,30,85.86350069250874
dino_vits8_dataset,dino_vits8,dataset,31,82.1951989119668
dino_vits8_dataset,dino_vits8,dataset,32,82.02061442261959
dino_vits8_dataset,dino_vits8,dataset,33,83.4296330572296
dino_vits8_dataset,dino_vits8,dataset,34,84.97141505066354
dino_vits8_dataset,dino_vits8,dataset,35,84.52656168203933
dino_vits8_dataset,dino_vits8,dataset,36,85.57041903070173
dino_vits8_dataset,dino_vits8,dataset,37,83.56457699726913
dino_vits8_dataset,dino_vits8,dataset,38,83.26113243977532
dino_vits8_dataset,dino_vits8,dataset,39,83.30239376860604
dino_vits8_dataset,dino_vits8,dataset,40,81.54301270772926
dino_vits8_dataset,dino_vits8,dataset,41,83.76368033296806
dino_vits8_dataset,dino_vits8,dataset,42,81.5553648709873
dino_vits8_dataset,dino_vits8,dataset,43,81.15125161597267
dino_vits8_dataset,dino_vits8,dataset,44,82.44980937040836
dino_vits8_dataset,dino_vits8,dataset,45,83.29161047569016
dino_vits8_dataset,dino_vits8,dataset,46,83.01929480235574
dino_vits8_dataset,dino_vits8,dataset,47,84.32081327023258
dino_vits8_dataset,dino_vits8,dataset,48,83.3372054232976
dino_vits8_dataset,dino_vits8,dataset,49,84.48363641691277
dino_vits8_dataset,dino_vits8,dataset,50,83.28061760702185
dino_vits8_dataset,dino_vits8,dataset,51,81.68554169830621
dino_vits8_dataset,dino_vits8,dataset,52,83.86763887902455
dino_vits8_dataset,dino_vits8,dataset,53,81.63176563702122
dino_vits8_dataset,dino_vits8,dataset,54,85.32923581494003
dino_vits8_dataset,dino_vits8,dataset,55,87.51043982602032
dino_vits8_dataset,dino_vits8,dataset,56,85.6145207057113
dino_vits8_dataset,dino_vits8,dataset,57,84.76002966534165
dino_vits8_dataset,dino_vits8,dataset,58,84.57831195648802
dino_vits8_dataset,dino_vits8,dataset,59,80.86705536153234
dino_vits8_dataset,dino_vits8,dataset,60,80.1527882156278
dino_vits8_dataset,dino_vits8,dataset,61,83.91804776745111
dino_vits8_dataset,dino_vits8,dataset,62,82.23068802989121
dino_vits8_dataset,dino_vits8,dataset,63,83.85788591160939
dino_vits8_dataset,dino_vits8,dataset,64,83.03323218644431
dino_vits8_dataset,dino_vits8,dataset,65,81.96038139148953
dino_vits8_dataset,dino_vits8,dataset,66,81.19618759406194
dino_vits8_dataset,dino_vits8,dataset,67,83.47594261287446
dino_vits8_dataset,dino_vits8,dataset,68,80.33066114935346
dino_vits8_dataset,dino_vits8,dataset,69,82.83067923022492
dino_vits8_dataset,dino_vits8,dataset,70,80.68006519350746
dino_vits8_dataset,dino_vits8,dataset,71,81.45836273344935
dino_vits8_dataset,dino_vits8,dataset,72,80.58626775846368
dino_vits8_dataset,dino_vits8,dataset,73,80.22767482222777
dino_vits8_dataset,dino_vits8,dataset,74,83.27788123841384
