variant,base_model,iteration,macro_f1
published,resnet101,13,82.6412271926511
published,resnet101,14,83.09213891713952
published,resnet101,15,85.14750363091035
published,resnet101,16,85.7091416416102
published,resnet101,17,82.30647735698135
published,resnet101,18,83.22258316568511
published,resnet101,19,85.07535731529286
published,resnet101,20,82.0040683611583
published,resnet101,21,81.43391417655481
published,resnet101,22,81.47878844887386
published,resnet101,23,86.42352862169354
published,resnet101,24,83.71950320430432
published,resnet101,25,82.25392347743892
published,resnet101,26,80.58101539556422
published,resnet101,27,82.24197604599493
published,resnet101,28,81.36225868898313
published,resnet101,29,83.10988520392259
published,resnet101,30,84.19053975626507
published,resnet101,31,85.99243224472197
published,resnet101,32,85.26577125864266
published,resnet101,33,83.34854046284347
published,resnet101,34,83.27832648558619
published,resnet101,35,85.26219409679676
published,resnet101,36,85.11951187542546
published,resnet101,37,83.85630599789594
published,resnet101,38,85.10127259757155
published,resnet101,39,82.08925949592884
published,resnet101,40,83.44294105399055
published,resnet101,41,82.07404663642353
published,resnet101,42,82.0297909650953
published,resnet101,43,83.56743324343209
published,resnet101,44,84.18053342013647
published,resnet101,45,84.57749969253835
published,resnet101,46,84.18130528631829
published,resnet101,47,85.96367386679616
published,resnet101,48,85.28891311452112
published,resnet101,49,83.09429004736478
published,resnet101,50,84.67749678169156
published,resnet101,51,83.042191643154
published,resnet101,52,84.33416939610596
published,resnet101,53,83.18160413462682
published,resnet101,54,86.07313541433304
published,resnet101,55,84.54516697565705
published,resnet101,56,84.44765331073903
published,resnet101,57,85.92242990341069
published,resnet101,58,85.2793972067355
published,resnet101,59,81.73398655582223
published,resnet101,60,80.7715986008184
published,resnet101,61,82.13677543536788
published,resnet101,62,82.134999533229
published,resnet101,63,85.72670914046266
published,resnet101,64,82.39099193087519
published,resnet101,65,83.63205473212183
published,resnet101,66,83.95960340685723
published,resnet101,67,83.94489562881978
published,resnet101,68,82.8993496575679
published,resnet101,69,82.28743153517115
published,resnet101,70,82.80936554221037
published,resnet101,71,81.26277680190917
published,resnet101,72,83.43211604608159
published,resnet101,73,80.88338563260746
published,resnet101,74,82.68156672824193
published,resnet101,75,86.8380975027565
published,resnet101,76,83.69165019465463
published,resnet101,77,82.87203601379318
published,resnet101,78,88.86786584289511
published,resnet101,79,84.04466883100575
published,resnet101,80,86.11825122225201
published,resnet101,81,81.10949164943892
published,resnet101,82,82.56762810931531
published,resnet101,83,84.44199008283954
published,resnet101,84,83.04158944536901
